winamax;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/winamax.png
unibet;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/unibet.jpeg
betclic;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/betclic%20logo.png
parions_sports;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/parions%20sports.png
zebet;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/zebet.png
pmu;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/pmu.jpeg
bwin;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/bwin.jpg
pokerstars;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/pokerstars.png
vbet;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/vbet.png
netbet;https://raw.githubusercontent.com/KoxNoob/benchmark/master/logo/netbet.jpg
